[23:52:42] [INIT] KubeJS 2001.6.5-build.16; MC 2001 forge
[23:52:42] [INIT] Loaded plugins:
[23:52:42] [INIT] - dev.latvian.mods.kubejs.forge.BuiltinKubeJSForgePlugin
[23:52:42] [INIT] - net.threetag.palladium.compat.kubejs.PalladiumKubeJSPlugin
[23:52:42] [INIT] - com.blakebr0.cucumber.compat.kubejs.CucumberKubeJSPlugin
[23:52:44] [INFO] example.js#5: Hello, World! (Loaded startup scripts)
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/has_abilities_condition.js in 0.0 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/geo_armor_stats.js in 0.002 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/geo_armor_reset.js in 0.0 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/geo_armor_ability.js in 0.008 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/genetic_test.js in 0.004 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/genetic_stability_debuffs.js in 0.003 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/genetic_booster.js in 0.0 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/empathic_cost.js in 0.002 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/empathic_call.js in 0.005 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/death_stam_remove.js in 0.001 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/cycle_replication.js in 0.002 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/cycle_ocular.js in 0.002 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/cycle_intuitive_origin.js in 0.001 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/cycle_intuitive.js in 0.012 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/cycle_genetic_power.js in 0.002 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/cycle_ability_empathic.js in 0.001 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/cycle_ability.js in 0.001 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/cryokinetic_armoury.js in 0.002 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/catalyst_transfer.js in 0.0 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/burning.js in 0.0 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/brain_scan.js in 0.001 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/brain_create.js in 0.001 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/base_power_max_con.js in 0.001 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/base_power.js in 0.002 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/aoe_damage_proj.js in 0.001 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/aoe_damage.js in 0.001 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_weight.js in 0.001 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_transfer.js in 0.003 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_replication.js in 0.001 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_removable.js in 0.016 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_registry.js in 0.002 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_randomizer.js in 0.002 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_index.js in 0.001 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_empathic.js in 0.002 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ability_absorption.js in 0.011 s
[23:52:44] [INFO] Loaded 76/76 KubeJS startup scripts in 1.486 s with 0 errors and 0 warnings
